Time,sales,FB,TV,Radio,Date
Week 1,22,230.1,37.8,69.2,2020-01-01
Week 2,10,44.5,39.3,45.1,2020-01-02
Week 3,9,17.2,45.9,69.3,2020-01-03
Week 4,19,151.5,41.3,58.5,2020-01-04
Week 5,13,180.8,10.8,58.4,2020-01-05
Week 6,7,8.7,48.9,75,2020-01-06
Week 7,12,57.5,32.8,23.5,2020-01-07
Week 8,13,120.2,19.6,11.6,2020-01-08
Week 9,5,8.6,2.1,1,2020-01-09
Week 10,11,199.8,2.6,21.2,2020-01-10
Week 11,9,66.1,5.8,24.2,2020-01-11
Week 12,17,214.7,24,4,2020-01-12
Week 13,9,23.8,35.1,65.9,2020-01-13
Week 14,10,97.5,7.6,7.2,2020-01-14
Week 15,19,204.1,32.9,46,2020-01-15
Week 16,22,195.4,47.7,52.9,2020-01-16
Week 17,13,67.8,36.6,114,2020-01-17
Week 18,24,281.4,39.6,55.8,2020-01-18
Week 19,11,69.2,20.5,18.3,2020-01-19
Week 20,15,147.3,23.9,19.1,2020-01-20
Week 21,18,218.4,27.7,53.4,2020-01-21
Week 22,13,237.4,5.1,23.5,2020-01-22
Week 23,6,13.2,15.9,49.6,2020-01-23
Week 24,16,228.3,16.9,26.2,2020-01-24
Week 25,10,62.3,12.6,18.3,2020-01-25
Week 26,12,262.9,3.5,19.5,2020-01-26
Week 27,15,142.9,29.3,12.6,2020-01-27
Week 28,16,240.1,16.7,22.9,2020-01-28
Week 29,19,248.8,27.1,22.9,2020-01-29
Week 30,11,70.6,16,40.8,2020-01-30
